Company Name,SEC Number,Date Registered,Status,Address
"Sinirangan Builders Corp.","2023100121813-00","October 19, 2023","Registered","Poblacion Ward 12; BUTAK ; GUIUAN; EASTERN SAMAR; REGION VIII (EASTERN VISAYAS); 6809"
"TaxMan Builders Corporation","2024100174086-14","October 21, 2024","Registered","NMTTI BUILDING ; ABELLANOSA ; RAMIRO COMPOUND ; Consolacion; CAGAYAN DE ORO CITY (Capital); MISAMIS ORIENTAL; REGION X (NORTHERN MINDANAO); 9015"
"GOLDEN CONSTRUCTION SUPPLY COMPANY","P000032551","September 1, 1977","Registered","CITY OF MANILA; FIRST DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"AABC GOLDEN CONSTRUCTION INC.","2023050099507-02","May 17, 2023","Registered","16 ; MAHIYAIN ST. ; DILIMAN ; Sikatuna Village; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1101"
"ADC GOLDEN CONSTRUCTION CORP.","CS202052450","October 13, 2020","Delinquent","BLDG 2 UNIT 1211 URBAN DECA HOMES ; VITAS ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR); 1013"
"E C GOLDEN CONSTRUCTION SERVICES CO.","2022020042509-16","February 17, 2022","Registered","Malacaang; CULASI; ANTIQUE; REGION VI (WESTERN VISAYAS); 5708"
"FERROHEMA GOLDEN CONSTRUCTION CORPORATION","CS202006009","August 13, 2020","Delinquent","90 ; PUROK 3 ; CALUMPIT; BULACAN; REGION III (CENTRAL LUZON); 3003"
"GLOBAL PILIPINO GOLDEN CONSTRUCTION AND DEVELOPMENT CORP.","CS201414501","July 25, 2014","Delinquent","JECO PRIME BLDG 20TH ; DRIVE; MCKINLEY BUS. ; TAGUIG CITY; FOURTH DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"JCP GOLDEN CONSTRUCTION INC.","2023020084843-10","February 6, 2023","Registered","UNIT M ; THEOBROMA ESTATE ; 47 P TUAZON ; San Martin De Porres; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1111"
"MEGAGOLD CONSTRUCTION AND DEVELOPMENT; OPC","OPC20190000757","September 3, 2019","Registered","2764 ; Arnaldo Boulevard ; Baybay; ROXAS CITY (Capital); CAPIZ; REGION VI (WESTERN VISAYAS); 5800"
"C.B. GARAY PHILWIDE BUILDERS J.V. 417LP CONSTRUCTION CO.","2024040143928-01","April 1, 2024","Registered","PUROK 7 ; Gabon; 3RD ; POLANGUI; ALBAY; REGION V (BICOL REGION); 4506"
"C.B. GARAY PHILWIDE BUILDERS/ARCON SYNERGY INC.","CS200715864","October 5, 2007","Revoked","16 COR. MARCOS HIGHWAY ; YAKAL ST. ; CITY OF PASIG; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"BHENLLABIEN BUILDERS CORPORATION","2020080001413-00","August 14, 2020","Registered","993 ; Purok 6 ; San Cristobal; SAN PABLO CITY; LAGUNA; REGION IV-A (CALABARZON); 4000"
"NEW JASMIN CONSTRUCTION INCORPORATED","2021110033595-16","November 23, 2021","Registered","086 ; SAN ROQUE ; San Roque (Pob.); VIRAC ; VIRAC (Capital); CATANDUANES; REGION V (BICOL REGION); 4800"
"LUG KONSTRACT; INC.","CS201701865","January 18, 2017","Registered","ZONE 5-B UTAP ; TACLOBAN CITY (Capital); LEYTE; REGION VIII (EASTERN VISAYAS)"
"PYUKEI CONSTRUCTION INC.","CS201227125","February 1, 2012","Registered","PALO; LEYTE; REGION VIII (EASTERN VISAYAS)"
"Garcia & Gomez Construction Company","2023100119641-28","October 5, 2023","Registered","BLOCK 3 LOT 114 ; SOUTHVILLE 6 ; Kay-Anlog; CALAMBA CITY LAGUNA ; CITY OF CALAMBA; LAGUNA; REGION IV-A (CALABARZON); 4028"
"N.B. GOMEZ CONSTRUCTION INC.","CS201232166","November 29, 2012","Registered","6 Fairview Homes ; Sabellano Street ; CEBU CITY (Capital); CEBU; REGION VII (CENTRAL VISAYAS); 6000"
"ISHIZAKI CONSTRUCTION & DEVELOPMENT CORPORATION","CS201616764","July 29, 2016","Registered","UNIT 2604 ; TYCOON CENTRE ; PEARL DRIVE; ORTIGAS CENTER ; CITY OF PASIG; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"C.T. LEONCIO CONSTRUCTION AND TRADING AND TIGER VALLEY BUILDERS CORPORATION","CS201323487","February 4, 2014","Suspended","20 ; MAKABULOS ST ; CITY OF ANTIPOLO; RIZAL; REGION IV-A (CALABARZON)"
"C.T. Leoncio Construction and Trading Corp.","2024100173865-00","October 18, 2024","Registered","9002 ; MATANG TUBIG ; Guyong; 6TH DISTRICT ; SANTA MARIA; BULACAN; REGION III (CENTRAL LUZON); 3022"
"C.T. LEONCIO CONSTRUCTION AND TRADING M.V. CALDO CONSTRUCTION AND SUPPLY CORPORATION J.V. CO.","PG201818663","August 24, 2018","Registered","322 ; Maharlika Highway ; BATANGAS; REGION IV-A (CALABARZON); 4234"
"KAIZER LEONCIO CONSTRUCTION AND SUPPLY CO.","2021110030906-05","November 2, 2021","Registered","NORTH NATIONAL HIGHWAY ; San Manuel; PUERTO PRINCESA CITY (Capital); PALAWAN; REGION IV-B (MIMAROPA); 5300"
"A.G. SERRANO CONSTRUCTION COMPANY","P000039599","February 9, 1984","Registered","2ND FLOOR OF LIM BLDG.; ATOP MIYAKO TEMPURAL RESTAURANT; NO. 1675-G ; QUEZON AVE. ; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"M.M. SERRANO CONSTRUCTION COMPANY","PG201220798","November 12, 2012","Registered","110 ; BATISAN ST ; CABANATUAN CITY; NUEVA ECIJA; REGION III (CENTRAL LUZON)"
"LD MD ONLINE DEVELOPERS INC. doing business under the name and style of ONLINEDOC","2020060000362-14","June 2, 2020","Delinquent","73A4 ; Bugallon St.; ; Aurora Hill; South Central; BAGUIO CITY; BENGUET; CORDILLERA ADMINISTRATIVE REGION (CAR); 2600"
"SUNTECH BUSINESS DEVELOPERS OPC","2025020186701-05","February 3, 2025","Registered","75 ; DONA FRANCESCA ; FILINVEST HOMES 2 ; Bagong Silangan; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1119"
"101 PROPERTY PLANNERS & DEVELOPERS CORPORATION","CS200800602","January 16, 2008","Registered","UNIT 202 TOPAZ BLDG. ; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"101 REALTY DEVELOPERS INC.","CS201216040","August 30, 2012","Registered","120 ; J DE MESA ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
"157 DEVELOPERS INC.","CS200729771","September 5, 2007","Revoked","157 RAMON DUTERTE ST. ; BANAWA ; CEBU CITY (Capital); CEBU; REGION VII (CENTRAL VISAYAS)"
"25TH CENTURY PROPERTY DEVELOPERS CORP.","A199611084","January 15, 1997","Revoked","NO. 79 PANAY AVENUE QUEZON CITY METRO MANILA ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
"4RS DEVELOPERS UNLIMITED; INC.","CS200409324","June 30, 2004","Revoked","317 ROOSEVELT AVENUE; SAN FRANCISCO DEL MONTE ; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"577 PROPERTY DEVELOPERS INC.","CS200811428","July 18, 2008","Registered","unit 211 ridgeway cond 70 ; dansalan st ; CITY OF MANDALUYONG; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"7 SEAS BUILDERS AND DEVELOPERS INC.","CS201601283","January 21, 2016","Delinquent","33-C EMERALD AVE. ; EMERALD COURT SUBD. ; PATEROS; FOURTH DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"830 BUILDERS & DEVELOPERS CORP.","A200100811","January 2, 2001","Registered","ILUSRE AVE.; LEMERY; BATANGAS ; BATANGAS; REGION IV-A (CALABARZON)"
"LIBRA SEVEN CONSTRUCTION CORPORATION","CS201503257","February 20, 2015","Delinquent","AGUILAR; PANGASINAN; REGION I (ILOCOS REGION)"
"A-BROS. CONSTRUCTION AND DEVELOPMENT CORPORATION","CS201300977","January 17, 2013","Registered","309 ; AMAR VILLAGE ; SANTA ROSA; LAGUNA; REGION IV-A (CALABARZON)"
"ABAD BROS. CONSTRUCTION COMPANY","P000019242","March 12, 1970","Registered","2001-2003 ; C SINGALONG ; CITY OF MANILA; FIRST DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"ANIMAS BROS CONSTRUCTION CORPORATION","CS201808598","May 28, 2018","Registered","Purok Sampaguita ; SAPANG DALAGA; MISAMIS OCCIDENTAL; REGION X (NORTHERN MINDANAO); 7212"
"ARCEO BROS. CONSTRUCTION & DEV'T. CORP.","CS200815377","September 26, 2008","Suspended",""
"B. BROS CONSTRUCTION & TRADING CORPORATION","A200012610","August 29, 2000","Revoked","834 QUINTOS ST. SAMPALOC MANILA ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
"Brilliant Bros Construction Inc.","2024030141297-01","March 13, 2024","Registered","717 ; Capipisa; West ; TANZA; CAVITE; REGION IV-A (CALABARZON); 4108"
"BROS CONSTRUCTION COMPANY","P000022925","July 28, 1972","Registered","2159 ; PLARIDEL ST. ; ANGELES CITY; PAMPANGA; REGION III (CENTRAL LUZON)"
"C-BROS CONSTRUCTION CORPORATION","2024120180587-00","December 11, 2024","Registered","TOWER 8284 ; TOWER 2 GA; AVIDA TOWERS ; SUCAT ROAD; ; San Dionisio; CITY OF PARAAQUE; FOURTH DISTRICT; NATIONAL CAPITAL REGION (NCR); 1700"
"C-BROS CONSTRUCTION OIL TRADING UNIT INC.","2025020188515-07","February 14, 2025","Registered","7F ; FINMAN CENTER BUILDING; 131 ; SALCEDO VILLAGE; ; Bel-Air; CITY OF MAKATI; FOURTH DISTRICT; NATIONAL CAPITAL REGION (NCR); 1209"
"CENTERWAYS CONSTRUCTION AND DEVELOPMENT AND L. BROS CONSTRUCTION AND SUPPLY JV CO.","PG202070144","July 23, 2020","Registered","Cabid-An; SITIO SIP-AC ; CITY OF SORSOGON (Capital); SORSOGON; REGION V (BICOL REGION); 4700"
"TBB CONSTRUCTION CORP.","CS201218428","October 3, 2012","Registered","841 ; PUROK II ; BULACAN; BULACAN; REGION III (CENTRAL LUZON)"
"CARCEL CONSTRUCTION AND DEVELOPMENT Corporation","CS201961652","April 4, 2019","Registered","ROOM 207; TPE BLDG.; GOVERNOR CUENCO AVENUE; ; Banilad; CEBU CITY (Capital); CEBU; REGION VII (CENTRAL VISAYAS); 6000"
"JAICA CONST. CORP.","CS201735733","October 20, 2017","Registered","PUROK ATIS ; DALAHICAN ROAD ; LUCENA CITY (Capital); QUEZON; REGION IV-A (CALABARZON)"
"ZEDIK BUILDERS INC.","CS201404591","March 6, 2014","Suspended","34 ; ANDRES CASTRO ; LAOAG CITY (Capital); ILOCOS NORTE; REGION I (ILOCOS REGION)"
"647 CONSTRUCTION AND DEVELOPMENT Corporation","CS201818903","August 28, 2018","Registered","Unit I East Plaza Arcade; East Poblacion ; National Highway ; CEBU; REGION VII (CENTRAL VISAYAS); 6037"
"22 PRIME CONSTRUCTION AND REALTY DEVELOPMENT INC.","CS201804424","March 28, 2018","Registered","ABUAB ; SITIO ; RIZAL; REGION IV-A (CALABARZON); 1850"
"REDSON CONSTRUCTION AND SUPPLIES; INC.","CS201737517","November 13, 2017","Registered","CFC BLDG.; ; RIZAL LACSON STS.; ; BACOLOD CITY (Capital); NEGROS OCCIDENTAL; REGION VI (WESTERN VISAYAS); 6100"
"NAZ GABRIEL CONSTRUCTION CORP.","2025040196245-15","April 2, 2025","Registered","MONTEVISTA ST ; Poblacion; DISTRICT I ; TAYTAY; PALAWAN; REGION IV-B (MIMAROPA); 5300"
"GASAT BUILDERS AND SUPPLIES INC.","CS202009228","December 3, 2020","Registered","DIPACULAO; AURORA; REGION III (CENTRAL LUZON); 3203"
"AENCARNACION REYES CONSTRUCTION CORP.","CS201219146","October 12, 2012","Delinquent","109 ; pilipinismo st ; LEMERY; BATANGAS; REGION IV-A (CALABARZON)"
"C.E.REYES CONSTRUCTION INC.","CS201005252","March 31, 2010","Suspended","547 SKS BLDG. ; BANAWE ST. ; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"DELOS REYES CONSTRUCTION & PROJECT MANAGEMENT OPC","2023110126601-07","November 30, 2023","Registered","LOT 6 BLOCK 5 ; SOUTHWYND RESIDENCES ; Palo-Alto; CALAMBA ; CITY OF CALAMBA; LAGUNA; REGION IV-A (CALABARZON); 4027"
"DF REYES CONSTRUCTION & DEV. CORP.","A200116979","November 12, 2001","Revoked","UNIT 1206 12/F SOUTH CENTER TOWER CONDO. CORP. 2206 MARKET ST. MADRIGAL BUSINESS PARK ALABANG MUN ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
"J.M. REYES CONSTRUCTION AND DEVELOPMENT CORPORATION","CS201420769","October 22, 2014","Delinquent","MALVAR; BATANGAS; REGION IV-A (CALABARZON)"
"LED REYES CONSTRUCTION (LRC); OPC","2022070061638-05","July 28, 2022","Registered","LOT 34 ; MARITIME SUBDIVISION ; Santa Rita; PINAMALAYAN; ORIENTAL MINDORO; REGION IV-B (MIMAROPA); 5208"
"M.F. REYES CONSTRUCTION CORPORATION","CS200500842","January 21, 2005","Suspended","B23 L31 ; JAMAICA ST.; ; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"O. P. Reyes Construction Corporation","2022040049182-01","April 11, 2022","Registered","098 ; SANGALANG STREET; ; Sangalang; LEMERY; BATANGAS; REGION IV-A (CALABARZON); 4209"
"RV DELOS REYES CONSTRUCTION AND TRADING CORPORATION","CS201822561","October 12, 2018","Registered","No. 5 ; Jesus St. ; CALACA; BATANGAS; REGION IV-A (CALABARZON); 4212"
"SHIRLEY C. REYES CONSTRUCTION SUPPLIES CORPORATION","CS201825369","December 4, 2018","Registered","BATANGAS; REGION IV-A (CALABARZON); 4227"
"CAGALAWAN ENTERPRISES INC. FORMERLY: A.P. CAGALAWAN ENTERPRISES INC.","CS201802379","March 6, 2018","Registered","ZONE 1 ; Igpit; OPOL; MISAMIS ORIENTAL; REGION X (NORTHERN MINDANAO); 9016"
"RUBIKS CONSTRUCTION CORPORATION","2022060054518-27","June 2, 2022","Registered","DOOR 8 3/FLR. ; KS BUSINESS CENTER ; J. ABAD SANTOS ST.; ; Magugpo Poblacion; CITY OF TAGUM (Capital); DAVAO DEL NORTE; REGION XI (DAVAO REGION); 8100"
"MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION","0000131256","February 21, 1986","Registered","MAMSAR Compound; ; Macapagal Avenue; ; ILIGAN CITY; LANAO DEL NORTE; REGION X (NORTHERN MINDANAO); 9200"
"C.T. LEONCIO CONSTRUCTION AND TRADING AND TIGER VALLEY BUILDERS CORPORATION","CS201323487","February 4, 2014","Suspended","20 ; MAKABULOS ST ; CITY OF ANTIPOLO; RIZAL; REGION IV-A (CALABARZON)"
"C.T. Leoncio Construction and Trading Corp.","2024100173865-00","October 18, 2024","Registered","9002 ; MATANG TUBIG ; Guyong; 6TH DISTRICT ; SANTA MARIA; BULACAN; REGION III (CENTRAL LUZON); 3022"
"C.T. LEONCIO CONSTRUCTION AND TRADING M.V. CALDO CONSTRUCTION AND SUPPLY CORPORATION J.V. CO.","PG201818663","August 24, 2018","Registered","322 ; Maharlika Highway ; BATANGAS; REGION IV-A (CALABARZON); 4234"
"KAIZER LEONCIO CONSTRUCTION AND SUPPLY CO.","2021110030906-05","November 2, 2021","Registered","NORTH NATIONAL HIGHWAY ; San Manuel; PUERTO PRINCESA CITY (Capital); PALAWAN; REGION IV-B (MIMAROPA); 5300"
"JDR CONSTRUCTION CORP.","A200106395","May 7, 2001","Suspended","METRO MANILA ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
"EMSYM Construction Corp.","2022060055805-01","June 13, 2022","Registered","397 ; G/F ; EMSYM APT. ; TANGUILE ST. ; Cembo; CITY OF MAKATI; FOURTH DISTRICT; NATIONAL CAPITAL REGION (NCR); 1214"
"I V Y MICHELLE TRADING AND CONSTRUCTION /A.R. LUSTRE; JR. CONSTRUCTION - (JOINT VENTURE) CO.","PG201118486","October 19, 2011","Registered","national hi-way ; NARRA; PALAWAN; REGION IV-B (MIMAROPA)"
"AAGroup Construction & Development Corporation","2025020188273-00","February 13, 2025","Registered","71 ; JOSE ABAD SANTOS AVENUE ; Salawag; CITY OF DASMARIAS; CAVITE; REGION IV-A (CALABARZON); 4114"
"ARAGDON AND CHAVEZ CONSTRUCTION SERVICES CORPORATION","2021070021043-51","July 28, 2021","Registered","MCS BULDING ADVINCULA AVENUE ALAPAN II-A ; Ligtasan; IMUS CITY; CAVITE; REGION IV-A (CALABARZON); 2300"
"BIG JC CONSTRUCTION CORP.","2022060056899-03","June 22, 2022","Registered","1013 S.TEODORO ST. ; Tondo I/II - Barangay 196; CITY OF MANILA; FIRST DISTRICT; NATIONAL CAPITAL REGION (NCR); 1013"
"CLJR CONSTRUCTION OPC","2023080111000-01","August 4, 2023","Registered","4C ; RAYMUNDO AVENUE ; Rosario; CITY OF PASIG; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1609"
"DMZ CONSTRUCTION CORPORATION","2024020134407-02","February 2, 2024","Registered","#199 ; San Jose; SANTO TOMAS; BATANGAS; REGION IV-A (CALABARZON); 4234"
"DUX CONSTRUCTION INC.","2024100171818-03","October 4, 2024","Registered","BLK 12 LOT 28 ; SAINT PETER STREET ; SAN PEDRO VII ; San Bartolome; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1116"
"E. Y. MERCADO CONSTRUCTION CORPORATION doing business under the name and style of E Y MERCADO CONSTRUCTION","2021070020609-12","July 23, 2021","Registered","BLK 1 LOT 25 ; OLIVAREZ COMPOUND 2 ; San Roque; CITY OF SAN PEDRO; LAGUNA; REGION IV-A (CALABARZON); 4023"
"JMD8 CONSTRUCTION CORPORATION","2025040199061-05","April 25, 2025","Registered","85 ; KAPILIGAN STREET ; Doa Imelda; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1113"
"MARJETECH CONSTRUCTION & TRADING OPC","2023050101306-02","May 30, 2023","Registered","ZONE 7; ; Santo Domingo; BOMBON; CAMARINES SUR; REGION V (BICOL REGION); 4404"
"MARSUN CONSTRUCTION; INCORPORATED","2022060054431-02","June 1, 2022","Registered","PAYATAS ROAD CORNER MAHOGANY STREET ; Payatas; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1119"
"ROCKWELL BUILDERS & SVCS. CORP.","A199806198","May 7, 1998","Suspended","2828 MOLAVE ST.; TONDO; MANILA ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
"ACD ASTROBUILT CONSTRUCTION & DEVELOPMENT INC.","CS201232811","September 24, 2012","Registered","5 ; SAN PEDRO VILLAGE EXTENSION ; DAVAO CITY; DAVAO DEL SUR; REGION XI (DAVAO REGION)"
"LOUREL DEVELOPMENT CORPORATION","CS201112435","July 20, 2011","Registered","J.P. LAUREL HI-WAY cor. V. TEMPLO ST. ; Banaybanay; LIPA CITY; BATANGAS; REGION IV-A (CALABARZON); 4217"
"1HB CONSTRUCTION Corp.","CS201952011","April 24, 2019","Registered","0 ; BACOOD ; GUIGUINTO; BULACAN; REGION III (CENTRAL LUZON); 3015"
"Verdax Builders Corporation","2022070059488-03","July 11, 2022","Registered","NAMPICUAN-CUYAPO ROAD ; Bentigan; CUYAPO; NUEVA ECIJA; REGION III (CENTRAL LUZON); 3117"
"M A 7 ARROW CONSTRUCTION AND DEVELOPMENT Corp.","CS201806088","April 24, 2018","Delinquent","P2 B29 L19 ; GARDENIA ST.; EVERGREEN EXEC. VILL. ; CALOOCAN CITY; THIRD DISTRICT; NATIONAL CAPITAL REGION (NCR); 1421"
"M A E S T R O CONSTRUCTION INCORPORATED","CS201908285","May 23, 2019","Registered","Block 10 lot 49 ; Marbella ; LAGUNA; REGION IV-A (CALABARZON); 4023"
"M A X I - B I L T CONSTRUCTION INC.","CS200614388","September 8, 2006","Registered","01 BARCELONA COMP. ; PARINAS ST.; ; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"M AND J ASSOCIATES DEVELOPMENT AND CONSTRUCTION CORPORATION","CS201621977","September 21, 2016","Delinquent","B5 LOT62 ; BARCELONA SUBD. ; IMUS CITY; CAVITE; REGION IV-A (CALABARZON)"
"AAGroup Construction & Development Corporation","2025020188273-00","February 13, 2025","Registered","71 ; JOSE ABAD SANTOS AVENUE ; Salawag; CITY OF DASMARIAS; CAVITE; REGION IV-A (CALABARZON); 4114"
"ARAGDON AND CHAVEZ CONSTRUCTION SERVICES CORPORATION","2021070021043-51","July 28, 2021","Registered","MCS BULDING ADVINCULA AVENUE ALAPAN II-A ; Ligtasan; IMUS CITY; CAVITE; REGION IV-A (CALABARZON); 2300"
"BIG JC CONSTRUCTION CORP.","2022060056899-03","June 22, 2022","Registered","1013 S.TEODORO ST. ; Tondo I/II - Barangay 196; CITY OF MANILA; FIRST DISTRICT; NATIONAL CAPITAL REGION (NCR); 1013"
"CLJR CONSTRUCTION OPC","2023080111000-01","August 4, 2023","Registered","4C ; RAYMUNDO AVENUE ; Rosario; CITY OF PASIG; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1609"
"DMZ CONSTRUCTION CORPORATION","2024020134407-02","February 2, 2024","Registered","#199 ; San Jose; SANTO TOMAS; BATANGAS; REGION IV-A (CALABARZON); 4234"
"DUX CONSTRUCTION INC.","2024100171818-03","October 4, 2024","Registered","BLK 12 LOT 28 ; SAINT PETER STREET ; SAN PEDRO VII ; San Bartolome; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1116"
"DQT BUILDERS CORPORATION","CS200323629","October 22, 2003","Registered","2F ; LUCENA CITY (Capital); QUEZON; REGION IV-A (CALABARZON)"
"GTJ CONSTRUCTION & DQT BUILDERS CO.","2022070060048-04","July 18, 2022","Registered","BURGOS STREET ; Pag-Asa Pob. (4th Zone); SANTA CRUZ; MARINDUQUE; REGION IV-B (MIMAROPA); 4902"
"AAGroup Construction & Development Corporation","2025020188273-00","February 13, 2025","Registered","71 ; JOSE ABAD SANTOS AVENUE ; Salawag; CITY OF DASMARIAS; CAVITE; REGION IV-A (CALABARZON); 4114"
"ARAGDON AND CHAVEZ CONSTRUCTION SERVICES CORPORATION","2021070021043-51","July 28, 2021","Registered","MCS BULDING ADVINCULA AVENUE ALAPAN II-A ; Ligtasan; IMUS CITY; CAVITE; REGION IV-A (CALABARZON); 2300"
"BIG JC CONSTRUCTION CORP.","2022060056899-03","June 22, 2022","Registered","1013 S.TEODORO ST. ; Tondo I/II - Barangay 196; CITY OF MANILA; FIRST DISTRICT; NATIONAL CAPITAL REGION (NCR); 1013"
"CLJR CONSTRUCTION OPC","2023080111000-01","August 4, 2023","Registered","4C ; RAYMUNDO AVENUE ; Rosario; CITY OF PASIG; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1609"
"DMZ CONSTRUCTION CORPORATION","2024020134407-02","February 2, 2024","Registered","#199 ; San Jose; SANTO TOMAS; BATANGAS; REGION IV-A (CALABARZON); 4234"
"DUX CONSTRUCTION INC.","2024100171818-03","October 4, 2024","Registered","BLK 12 LOT 28 ; SAINT PETER STREET ; SAN PEDRO VII ; San Bartolome; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1116"
"E. Y. MERCADO CONSTRUCTION CORPORATION doing business under the name and style of E Y MERCADO CONSTRUCTION","2021070020609-12","July 23, 2021","Registered","BLK 1 LOT 25 ; OLIVAREZ COMPOUND 2 ; San Roque; CITY OF SAN PEDRO; LAGUNA; REGION IV-A (CALABARZON); 4023"
"JMD8 CONSTRUCTION CORPORATION","2025040199061-05","April 25, 2025","Registered","85 ; KAPILIGAN STREET ; Doa Imelda; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1113"
"MARJETECH CONSTRUCTION & TRADING OPC","2023050101306-02","May 30, 2023","Registered","ZONE 7; ; Santo Domingo; BOMBON; CAMARINES SUR; REGION V (BICOL REGION); 4404"
"MARSUN CONSTRUCTION; INCORPORATED","2022060054431-02","June 1, 2022","Registered","PAYATAS ROAD CORNER MAHOGANY STREET ; Payatas; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1119"
"Dinah RBS Construction and Supply Incorporated","CS202061866","November 3, 2020","Registered","150 ; KABULIHAN ; Ilihan; TOLEDO CITY; CEBU; REGION VII (CENTRAL VISAYAS); 6038"
"GRAND GOODWILL GENERAL CONSTRUCTION & SUPPLY CORP.","2024110176479-07","November 11, 2024","Registered","SENANGOTE 1; PRK. MAHARLIKA ; Magugpo East; CITY OF TAGUM (Capital); DAVAO DEL NORTE; REGION XI (DAVAO REGION); 8100"
"JERA GENERAL CONSTRUCTION & SUPPLY CORP.","CS201330895","August 12, 2013","Delinquent","1395 5TH ST; ; OUR LADY'S VILLAGE ; LEGAZPI CITY (Capital); ALBAY; REGION V (BICOL REGION)"
"GONZALODO ENTERPRISES AND CONSTRUCTION INC.","CS202061912","November 12, 2020","Registered","LEVEL 1 ; GONZALODO BLDG. ; UPPER ; Casili; CONSOLACION; CEBU; REGION VII (CENTRAL VISAYAS); 6001"
"Anex Cosmetics Enterprises OPC","2021110031858-00","November 9, 2021","Registered","F3-11 8TH ST COR ; 23RD ST ; Barangay 183; PASAY CITY; FOURTH DISTRICT; NATIONAL CAPITAL REGION (NCR); 1309"
"GO 2 BIG HOMEDECOR ENTERPRISES and SUPPLIES INC.","2024010129835-72","January 3, 2024","Registered","UNIT ; 6- ; A. BRGY. ; Calzada; BALAYAN; BATANGAS; REGION IV-A (CALABARZON); 4213"
"IVORYSIGN BUSINESS ENTERPRISES CORP.","2024010129819-01","January 3, 2024","Registered","UNIT 8 ; C; ; BRGY. ; Calzada; BALAYAN; BATANGAS; REGION IV-A (CALABARZON); 4213"
"JVM Enterprises OPC","2023100121792-42","October 19, 2023","Registered","ZONE 5 ; Buntatala; JARO ; ILOILO CITY (Capital); ILOILO; REGION VI (WESTERN VISAYAS); 5000"
"OiLife DIRECT SELLING ENTERPRISES OPC","2025080214117-05","August 13, 2025","Registered","304 ; MEDALLA ; CUBAO ; EDSA GEN. MCARTHUR AVENUE ; Socorro; QUEZON CITY ; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1109"
"VLO Commerce Enterprises Corp.","2024020138765-00","February 28, 2024","Registered","BLK 16 LOT 06 ; ESTANZIA WEST HAKAYHAY ; Sahud Ulan; TANZA; CAVITE; REGION IV-A (CALABARZON); 4108"
"" VERTEC COMMERCIAL ENTERPRISES"","P000020934","January 26, 1971","Registered","CEBU CITY (Capital); CEBU; REGION VII (CENTRAL VISAYAS)"
""A. R. RIVA ENTERPRISES; INC.","0000019803","November 29, 1961","Revoked","4 ; TWIN ; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
""D" ENTERPRISES CO.; LTD.","P000039735","March 26, 1984","Registered","34 ; F. BLUMENTTRIT ST. ; CITY OF MANDALUYONG; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
""FALEK ENTERPRISES; INC."","0000056026","May 16, 1974","Registered","CEBU CITY (Capital); CEBU; REGION VII (CENTRAL VISAYAS)"
"AAGroup Construction & Development Corporation","2025020188273-00","February 13, 2025","Registered","71 ; JOSE ABAD SANTOS AVENUE ; Salawag; CITY OF DASMARIAS; CAVITE; REGION IV-A (CALABARZON); 4114"
