Contractor Name,Status,Companies Found,File Path
"SMARTBUILD_CONSTRUCTION_AND_TRADING","no_results",0,"sec_results/SMARTBUILD_CONSTRUCTION_AND_TRADING.txt"
"RCD_GEN._CONTRACTOR_&_CONSTRUCTION_SUPPLY","no_results",0,"sec_results/RCD_GEN._CONTRACTOR_&_CONSTRUCTION_SUPPLY.txt"
"ZYRE_TRADING_AND_CONSTRUCTION","no_results",0,"sec_results/ZYRE_TRADING_AND_CONSTRUCTION.txt"
"HI-TONE_CONSTRUCTION_DEVELOPMENT_CORP_FORMERLY","no_results",0,"sec_results/HI-TONE_CONSTRUCTION_DEVELOPMENT_CORP_FORMERLY.txt"
"RR_SEISMUNDO_CONST_AND_SUPPLY","no_results",0,"sec_results/RR_SEISMUNDO_CONST_AND_SUPPLY.txt"
"168_CONSTRUCTION_&_SUPPLY","success",1,"sec_results/168_CONSTRUCTION_&_SUPPLY.txt"
"PHILIPPINE_CHEMSTEEL_INDUSTRIES,_INC","no_results",0,"sec_results/PHILIPPINE_CHEMSTEEL_INDUSTRIES,_INC.txt"
"TNB_BUILDERS","no_results",0,"sec_results/TNB_BUILDERS.txt"
"ADP_CONSTRUCTION_AND_SUPPLY","no_results",0,"sec_results/ADP_CONSTRUCTION_AND_SUPPLY.txt"
"DALEBO_CONSTRUCTION_&_GEN._MERCHANDISE","no_results",0,"sec_results/DALEBO_CONSTRUCTION_&_GEN._MERCHANDISE.txt"
"BASTIAN_BUILDERS","no_results",0,"sec_results/BASTIAN_BUILDERS.txt"
"DEACONS_TEMPLE_CONSTRUCTION","no_results",0,"sec_results/DEACONS_TEMPLE_CONSTRUCTION.txt"
"TWENTYSIX_CONSTRUCTION_INC","no_results",0,"sec_results/TWENTYSIX_CONSTRUCTION_INC.txt"
"BAGOLINYAN_CONSTRUCTION_DESIGN_AND_SUPPLY","no_results",0,"sec_results/BAGOLINYAN_CONSTRUCTION_DESIGN_AND_SUPPLY.txt"
"AL_HUSSEIN_CONSTRUCTION","no_results",0,"sec_results/AL_HUSSEIN_CONSTRUCTION.txt"
"PEDELMAR_CONSTRUCTION_AND_SUPPLY","no_results",0,"sec_results/PEDELMAR_CONSTRUCTION_AND_SUPPLY.txt"
"ECO_BUILDERS","success",1,"sec_results/ECO_BUILDERS.txt"
"CHOLO_CONSTRUCTION_TRADING","no_results",0,"sec_results/CHOLO_CONSTRUCTION_TRADING.txt"
"JOHN_6:51_BUILDERS","no_results",0,"sec_results/JOHN_6:51_BUILDERS.txt"
"MEGABALTZ_CONSTRUCTION","no_results",0,"sec_results/MEGABALTZ_CONSTRUCTION.txt"
"CATTECORYLL_CONSTRUCTION","success",1,"sec_results/CATTECORYLL_CONSTRUCTION.txt"
"GENETIAN_BUILDERS_ENTERPRISES_INCORPORATED","no_results",0,"sec_results/GENETIAN_BUILDERS_ENTERPRISES_INCORPORATED.txt"
"LEDA_CONSTRUCTION_INCORPORATED","success",1,"sec_results/LEDA_CONSTRUCTION_INCORPORATED.txt"
"JEJAN_CONSTRUCT_STEVEN_CONSTRUCTION_SUPPLY","no_results",0,"sec_results/JEJAN_CONSTRUCT_STEVEN_CONSTRUCTION_SUPPLY.txt"
"CARMIG_CONSTRUCTION_&_SUPPLY","no_results",0,"sec_results/CARMIG_CONSTRUCTION_&_SUPPLY.txt"
"AMG_III_CONSTRUCTION_AND_DEVELOPMENT_CORPORATION","success",1,"sec_results/AMG_III_CONSTRUCTION_AND_DEVELOPMENT_CORPORATION.txt"
"JEUSMACK_BUILDERS","no_results",0,"sec_results/JEUSMACK_BUILDERS.txt"
"D._DOLOR_CONSTRUCTION","no_results",0,"sec_results/D._DOLOR_CONSTRUCTION.txt"
"DRAGON_TWELVE_BUILDERS__CONSTRUCTION_SUPPLY","no_results",0,"sec_results/DRAGON_TWELVE_BUILDERS__CONSTRUCTION_SUPPLY.txt"
"DOUBLE_B_CONSTRUCTION_AND_SUPPLY_CORPORATION","no_results",0,"sec_results/DOUBLE_B_CONSTRUCTION_AND_SUPPLY_CORPORATION.txt"
"JRP_DE_MESA_GENERAL_MERCHANDISE","no_results",0,"sec_results/JRP_DE_MESA_GENERAL_MERCHANDISE.txt"
"D.C.R._CONSTRUCTION","no_results",0,"sec_results/D.C.R._CONSTRUCTION.txt"
"STEVEN_CONSTRUCTION_SUPPLY","success",1,"sec_results/STEVEN_CONSTRUCTION_SUPPLY.txt"
"CEDRIC_B._CONSTRUCTION","no_results",0,"sec_results/CEDRIC_B._CONSTRUCTION.txt"
"MAYFLOWER_CONSTRUCTION_AND_DEVELOPMENT_CORPORATION","no_results",0,"sec_results/MAYFLOWER_CONSTRUCTION_AND_DEVELOPMENT_CORPORATION.txt"
"KAREL_CONCRETE_PRODUCTS_AND_HARDWARE_SUPPLIES","no_results",0,"sec_results/KAREL_CONCRETE_PRODUCTS_AND_HARDWARE_SUPPLIES.txt"
"DOUBLE_12_CONSTRUCTION","success",1,"sec_results/DOUBLE_12_CONSTRUCTION.txt"
"MONTADEL_ENTERPRISES","no_results",0,"sec_results/MONTADEL_ENTERPRISES.txt"
"INAMARGA_ENTERPRISES","no_results",0,"sec_results/INAMARGA_ENTERPRISES.txt"
"TRIPLE_8_CONSTRUCTION__SUPPLY_INC_(FORMERLY_TRIPLE_8_CONST__SUPPLY)","no_results",0,"sec_results/TRIPLE_8_CONSTRUCTION__SUPPLY_INC_(FORMERLY_TRIPLE_8_CONST__SUPPLY).txt"
"RGDG_CONSTRUCTION","no_results",0,"sec_results/RGDG_CONSTRUCTION.txt"
"JERIS_CONSTRUCTION_AND_SUPPLY","no_results",0,"sec_results/JERIS_CONSTRUCTION_AND_SUPPLY.txt"
"STALL_CONSTRUCTION_SUPPLIES_&_SERVICES","no_results",0,"sec_results/STALL_CONSTRUCTION_SUPPLIES_&_SERVICES.txt"
"DALCON_CONSTRUCTION","no_results",0,"sec_results/DALCON_CONSTRUCTION.txt"
"E._GARCIA_CONST","no_results",0,"sec_results/E._GARCIA_CONST.txt"
"HERCULES_VENTURES_INC","no_results",0,"sec_results/HERCULES_VENTURES_INC.txt"
"AGGREGATE_SUPPLIES_INC","success",1,"sec_results/AGGREGATE_SUPPLIES_INC.txt"
"PLD_CONSTRUCTION","success",1,"sec_results/PLD_CONSTRUCTION.txt"
"JUAN_ANTONIO_CONSTRUCTION","no_results",0,"sec_results/JUAN_ANTONIO_CONSTRUCTION.txt"
"JJJ-A_CONSTRUCTION_AND_SUPPLIES","no_results",0,"sec_results/JJJ-A_CONSTRUCTION_AND_SUPPLIES.txt"
"RELY_CONSTRUCTION_SUPPLY_INC","no_results",0,"sec_results/RELY_CONSTRUCTION_SUPPLY_INC.txt"
"ARCA_BUILDERS","success",1,"sec_results/ARCA_BUILDERS.txt"
"R.M._BILOG_CONSTRUCTION_AND_ENGINEERING_SERVICES","no_results",0,"sec_results/R.M._BILOG_CONSTRUCTION_AND_ENGINEERING_SERVICES.txt"
"R_B_PANO_CONSTRUCTION_AND_SUPPLY","no_results",0,"sec_results/R_B_PANO_CONSTRUCTION_AND_SUPPLY.txt"
"LCTING_CONSTRUCTION_AND_DEVELOPMENT_CORPORATION_(FORMERLY:_L.C._TING_CONSTRUCTION)","no_results",0,"sec_results/LCTING_CONSTRUCTION_AND_DEVELOPMENT_CORPORATION_(FORMERLY:_L.C._TING_CONSTRUCTION).txt"
"MAMAWAG_CONSTRUCTION","no_results",0,"sec_results/MAMAWAG_CONSTRUCTION.txt"
"HAFF_CONSTRUCTION_AND_SUPPLIES,_INC._(FORMERLY:_HAFF_CONSTRUCTION_AND_SUPPLIES)","no_results",0,"sec_results/HAFF_CONSTRUCTION_AND_SUPPLIES,_INC._(FORMERLY:_HAFF_CONSTRUCTION_AND_SUPPLIES).txt"
"CLMB_CONSTRUCTION","no_results",0,"sec_results/CLMB_CONSTRUCTION.txt"
"B_VICENCIO_CONSTRUCTION_ALPHAHAWK_CONSTRUCTION_CORP","no_results",0,"sec_results/B_VICENCIO_CONSTRUCTION_ALPHAHAWK_CONSTRUCTION_CORP.txt"
"RS_RODRIGUEZ_CONSTRUCTION__SUPPLIES","no_results",0,"sec_results/RS_RODRIGUEZ_CONSTRUCTION__SUPPLIES.txt"
"MAR-DEB_CONSTRUCTION_&AMP;_DEVELOPMENT_CORP","no_results",0,"sec_results/MAR-DEB_CONSTRUCTION_&AMP;_DEVELOPMENT_CORP.txt"
"L_B_LEONCIO_TRADING_AND_CONSTRUCTION_CORPORATION","success",1,"sec_results/L_B_LEONCIO_TRADING_AND_CONSTRUCTION_CORPORATION.txt"
"E.S.L._BUILDERS_&_PARTS_SUPPLY","no_results",0,"sec_results/E.S.L._BUILDERS_&_PARTS_SUPPLY.txt"
"LXS_BUILDERS_&AMP;_SUPPLIES","no_results",0,"sec_results/LXS_BUILDERS_&AMP;_SUPPLIES.txt"
"FLUSSKREBS_CONSTRUCTORS","no_results",0,"sec_results/FLUSSKREBS_CONSTRUCTORS.txt"
